algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
NoPin, soc-LiveJournal1, 1, 8.773336, 2.84, 27.75, 0, 1024, 10
NoPin, soc-LiveJournal1, 1, 9.135761, 2.84, 26.65, 0, 1024, 10
NoPin, soc-LiveJournal1, 1, 8.998070, 2.84, 27.06, 0, 1024, 10
NoPin, soc-LiveJournal1, 2, 4.763270, 2.90, 52.25, 0, 1024, 20
NoPin, soc-LiveJournal1, 2, 4.829758, 2.91, 51.62, 0, 1024, 20
NoPin, soc-LiveJournal1, 2, 4.776049, 2.91, 52.16, 0, 1024, 20
NoPin, soc-LiveJournal1, 4, 3.109769, 2.97, 81.88, 0, 1024, 40
NoPin, soc-LiveJournal1, 4, 3.293560, 2.98, 77.48, 0, 1024, 40
NoPin, soc-LiveJournal1, 4, 3.275584, 2.95, 77.31, 0, 1024, 40
NoPin, soc-LiveJournal1, 6, 2.606965, 2.99, 98.35, 0, 1024, 60
NoPin, soc-LiveJournal1, 6, 2.908255, 2.99, 88.20, 0, 1024, 60
NoPin, soc-LiveJournal1, 6, 2.826605, 2.99, 90.80, 0, 1024, 60
NoPin, soc-LiveJournal1, 8, 2.527076, 3.01, 102.14, 0, 1024, 80
NoPin, soc-LiveJournal1, 8, 2.680307, 3.01, 96.27, 0, 1024, 80
NoPin, soc-LiveJournal1, 8, 2.598884, 3.02, 99.50, 0, 1024, 80
NoPin, soc-LiveJournal1, 12, 2.039624, 3.04, 127.80, 0, 1024, 120
NoPin, soc-LiveJournal1, 12, 2.325264, 3.05, 112.45, 0, 1024, 120
NoPin, soc-LiveJournal1, 12, 2.174048, 3.06, 120.63, 0, 1024, 120
NoPin, soc-LiveJournal1, 16, 1.887197, 3.06, 139.14, 0, 1024, 160
NoPin, soc-LiveJournal1, 16, 1.714149, 3.07, 153.37, 0, 1024, 160
NoPin, soc-LiveJournal1, 16, 1.524842, 3.07, 172.63, 0, 1024, 160
NoPin, soc-LiveJournal1, 20, 1.549725, 3.08, 170.28, 0, 1024, 200
NoPin, soc-LiveJournal1, 20, 1.989963, 3.08, 132.85, 0, 1024, 200
NoPin, soc-LiveJournal1, 20, 1.525516, 3.09, 173.50, 0, 1024, 200
NoPin, soc-LiveJournal1, 24, 1.435399, 3.08, 183.92, 0, 1024, 240
NoPin, soc-LiveJournal1, 24, 1.496742, 3.10, 177.51, 0, 1024, 240
NoPin, soc-LiveJournal1, 24, 1.544137, 3.10, 172.03, 0, 1024, 240
NoPin, soc-LiveJournal1, 28, 1.584111, 3.11, 168.16, 0, 1024, 280
NoPin, soc-LiveJournal1, 28, 1.927988, 3.11, 138.12, 0, 1024, 280
NoPin, soc-LiveJournal1, 28, 1.897347, 3.11, 140.61, 0, 1024, 280
NoPin, soc-LiveJournal1, 32, 1.674260, 3.12, 159.77, 0, 1024, 320
NoPin, soc-LiveJournal1, 32, 1.862810, 3.12, 143.65, 0, 1024, 320
NoPin, soc-LiveJournal1, 32, 1.999914, 3.10, 132.71, 0, 1024, 320
NoPin, soc-LiveJournal1, 36, 1.988058, 3.14, 135.28, 0, 1024, 360
NoPin, soc-LiveJournal1, 36, 1.709712, 3.13, 156.80, 0, 1024, 360
NoPin, soc-LiveJournal1, 36, 1.915248, 3.12, 139.77, 0, 1024, 360
NoPin, soc-LiveJournal1, 40, 1.842077, 3.13, 145.77, 0, 1024, 400
NoPin, soc-LiveJournal1, 40, 1.864179, 3.14, 144.45, 0, 1024, 400
NoPin, soc-LiveJournal1, 40, 1.854169, 3.15, 145.63, 0, 1024, 400
NoPin, soc-LiveJournal1, 44, 1.973060, 3.14, 136.37, 0, 1024, 440
NoPin, soc-LiveJournal1, 44, 1.863266, 3.15, 144.97, 0, 1024, 440
NoPin, soc-LiveJournal1, 44, 1.616663, 3.14, 166.60, 0, 1024, 440
NoPin, soc-LiveJournal1, 48, 1.742446, 3.15, 154.93, 0, 1024, 480
NoPin, soc-LiveJournal1, 48, 1.739973, 3.15, 155.15, 0, 1024, 480
NoPin, soc-LiveJournal1, 48, 1.818005, 3.16, 149.06, 0, 1024, 480
NoPin, soc-LiveJournal1, 64, 1.698150, 3.17, 159.82, 0, 1024, 640
NoPin, soc-LiveJournal1, 64, 1.732324, 3.17, 157.02, 0, 1024, 640
NoPin, soc-LiveJournal1, 64, 1.910156, 3.17, 142.34, 0, 1024, 640
NoPin, soc-LiveJournal1, 96, 1.754950, 3.20, 156.35, 0, 1024, 960
NoPin, soc-LiveJournal1, 96, 1.666640, 3.20, 164.35, 0, 1024, 960
NoPin, soc-LiveJournal1, 96, 1.620734, 3.20, 169.17, 0, 1024, 960
NoPin, soc-LiveJournal1, 128, 1.671057, 3.22, 164.94, 0, 1024, 1280
NoPin, soc-LiveJournal1, 128, 1.668178, 3.22, 165.26, 0, 1024, 1280
NoPin, soc-LiveJournal1, 128, 1.645284, 3.21, 167.19, 0, 1024, 1280
PinHT, soc-LiveJournal1, 2, 5.713671, 2.90, 43.56, 0, 1024, 20
PinHT, soc-LiveJournal1, 2, 5.703218, 2.91, 43.71, 0, 1024, 20
PinHT, soc-LiveJournal1, 2, 5.717970, 2.90, 43.50, 0, 1024, 20
PinHT, soc-LiveJournal1, 4, 3.235146, 2.95, 78.06, 0, 1024, 40
PinHT, soc-LiveJournal1, 4, 3.204107, 2.96, 79.27, 0, 1024, 40
PinHT, soc-LiveJournal1, 4, 3.181811, 2.96, 79.76, 0, 1024, 40
PinHT, soc-LiveJournal1, 6, 2.344394, 2.99, 109.37, 0, 1024, 60
PinHT, soc-LiveJournal1, 6, 2.313807, 3.00, 111.06, 0, 1024, 60
PinHT, soc-LiveJournal1, 6, 2.306139, 2.99, 111.09, 0, 1024, 60
PinHT, soc-LiveJournal1, 8, 1.833533, 3.00, 140.20, 0, 1024, 80
PinHT, soc-LiveJournal1, 8, 1.839418, 3.01, 140.14, 0, 1024, 80
PinHT, soc-LiveJournal1, 8, 1.843605, 2.99, 139.11, 0, 1024, 80
PinHT, soc-LiveJournal1, 12, 1.748524, 3.05, 149.50, 0, 1024, 120
PinHT, soc-LiveJournal1, 12, 1.675156, 3.03, 155.06, 0, 1024, 120
PinHT, soc-LiveJournal1, 12, 1.667164, 3.04, 156.34, 0, 1024, 120
PinHT, soc-LiveJournal1, 16, 1.336332, 3.06, 196.19, 0, 1024, 160
PinHT, soc-LiveJournal1, 16, 1.296459, 3.06, 202.56, 0, 1024, 160
PinHT, soc-LiveJournal1, 16, 1.276586, 3.05, 205.02, 0, 1024, 160
PinHT, soc-LiveJournal1, 20, 1.332316, 3.08, 198.12, 0, 1024, 200
PinHT, soc-LiveJournal1, 20, 1.310327, 3.09, 201.81, 0, 1024, 200
PinHT, soc-LiveJournal1, 20, 1.314655, 3.09, 201.11, 0, 1024, 200
PinHT, soc-LiveJournal1, 24, 1.245565, 3.09, 212.50, 0, 1024, 240
PinHT, soc-LiveJournal1, 24, 1.250265, 3.09, 212.11, 0, 1024, 240
PinHT, soc-LiveJournal1, 24, 1.229990, 3.08, 214.80, 0, 1024, 240
PinHT, soc-LiveJournal1, 28, 1.170366, 3.09, 226.25, 0, 1024, 280
PinHT, soc-LiveJournal1, 28, 1.213185, 3.11, 219.46, 0, 1024, 280
PinHT, soc-LiveJournal1, 28, 1.188983, 3.11, 223.82, 0, 1024, 280
PinHT, soc-LiveJournal1, 32, 1.144307, 3.11, 232.75, 0, 1024, 320
PinHT, soc-LiveJournal1, 32, 1.136384, 3.11, 234.75, 0, 1024, 320
PinHT, soc-LiveJournal1, 32, 1.121949, 3.12, 238.19, 0, 1024, 320
PinHT, soc-LiveJournal1, 36, 1.128510, 3.13, 237.48, 0, 1024, 360
PinHT, soc-LiveJournal1, 36, 1.118763, 3.12, 238.66, 0, 1024, 360
PinHT, soc-LiveJournal1, 36, 1.136753, 3.12, 235.07, 0, 1024, 360
PinHT, soc-LiveJournal1, 40, 1.082127, 3.12, 247.03, 0, 1024, 400
PinHT, soc-LiveJournal1, 40, 1.054197, 3.10, 251.73, 0, 1024, 400
PinHT, soc-LiveJournal1, 40, 1.078264, 3.13, 248.39, 0, 1024, 400
PinHT, soc-LiveJournal1, 44, 1.085321, 3.12, 246.54, 0, 1024, 440
PinHT, soc-LiveJournal1, 44, 1.068631, 3.13, 250.78, 0, 1024, 440
PinHT, soc-LiveJournal1, 44, 1.080347, 3.12, 247.81, 0, 1024, 440
PinHT, soc-LiveJournal1, 48, 1.033548, 3.11, 257.91, 0, 1024, 480
PinHT, soc-LiveJournal1, 48, 1.059999, 3.13, 252.92, 0, 1024, 480
PinHT, soc-LiveJournal1, 48, 1.084841, 3.12, 246.29, 0, 1024, 480
PinHT, soc-LiveJournal1, 64, 1.111755, 3.14, 241.96, 0, 1024, 640
PinHT, soc-LiveJournal1, 64, 1.106057, 3.15, 243.98, 0, 1024, 640
PinHT, soc-LiveJournal1, 64, 1.098758, 3.15, 245.33, 0, 1024, 640
PinHT, soc-LiveJournal1, 96, 1.520367, 3.19, 179.93, 0, 1024, 960
PinHT, soc-LiveJournal1, 96, 1.511514, 3.18, 180.46, 0, 1024, 960
PinHT, soc-LiveJournal1, 96, 1.482671, 3.19, 184.44, 0, 1024, 960
PinHT, soc-LiveJournal1, 128, 1.714886, 3.19, 159.36, 0, 1024, 1280
PinHT, soc-LiveJournal1, 128, 1.702369, 3.21, 161.38, 0, 1024, 1280
PinHT, soc-LiveJournal1, 128, 1.733298, 3.22, 159.25, 0, 1024, 1280
PinNoHT, soc-LiveJournal1, 2, 4.269576, 2.90, 58.25, 0, 1024, 20
PinNoHT, soc-LiveJournal1, 2, 4.328042, 2.90, 57.47, 0, 1024, 20
PinNoHT, soc-LiveJournal1, 2, 4.340379, 2.92, 57.56, 0, 1024, 20
PinNoHT, soc-LiveJournal1, 4, 2.540099, 2.96, 99.73, 0, 1024, 40
PinNoHT, soc-LiveJournal1, 4, 2.645494, 2.96, 95.86, 0, 1024, 40
PinNoHT, soc-LiveJournal1, 4, 2.449402, 2.96, 103.56, 0, 1024, 40
PinNoHT, soc-LiveJournal1, 6, 2.198323, 2.98, 116.24, 0, 1024, 60
PinNoHT, soc-LiveJournal1, 6, 2.186699, 2.99, 117.01, 0, 1024, 60
PinNoHT, soc-LiveJournal1, 6, 2.319299, 2.99, 110.54, 0, 1024, 60
PinNoHT, soc-LiveJournal1, 8, 1.751906, 3.00, 146.58, 0, 1024, 80
PinNoHT, soc-LiveJournal1, 8, 1.728591, 3.00, 148.78, 0, 1024, 80
PinNoHT, soc-LiveJournal1, 8, 1.875887, 3.00, 137.12, 0, 1024, 80
PinNoHT, soc-LiveJournal1, 12, 1.814905, 3.06, 144.55, 0, 1024, 120
PinNoHT, soc-LiveJournal1, 12, 1.849802, 3.05, 141.42, 0, 1024, 120
PinNoHT, soc-LiveJournal1, 12, 1.903480, 3.06, 137.81, 0, 1024, 120
PinNoHT, soc-LiveJournal1, 16, 1.580868, 3.07, 166.53, 0, 1024, 160
PinNoHT, soc-LiveJournal1, 16, 1.583855, 3.07, 166.02, 0, 1024, 160
PinNoHT, soc-LiveJournal1, 16, 1.571918, 3.07, 167.30, 0, 1024, 160
PinNoHT, soc-LiveJournal1, 20, 1.379319, 3.09, 192.02, 0, 1024, 200
PinNoHT, soc-LiveJournal1, 20, 1.431833, 3.08, 184.43, 0, 1024, 200
PinNoHT, soc-LiveJournal1, 20, 1.429832, 3.08, 184.67, 0, 1024, 200
PinNoHT, soc-LiveJournal1, 24, 1.338895, 3.10, 198.26, 0, 1024, 240
PinNoHT, soc-LiveJournal1, 24, 1.316567, 3.10, 202.03, 0, 1024, 240
PinNoHT, soc-LiveJournal1, 24, 1.345356, 3.09, 196.93, 0, 1024, 240
PinNoHT, soc-LiveJournal1, 28, 1.236424, 3.11, 215.25, 0, 1024, 280
PinNoHT, soc-LiveJournal1, 28, 1.256137, 3.10, 211.52, 0, 1024, 280
PinNoHT, soc-LiveJournal1, 28, 1.281414, 3.12, 208.66, 0, 1024, 280
PinNoHT, soc-LiveJournal1, 32, 1.215185, 3.12, 219.75, 0, 1024, 320
PinNoHT, soc-LiveJournal1, 32, 1.361686, 3.12, 196.35, 0, 1024, 320
PinNoHT, soc-LiveJournal1, 32, 1.205725, 3.11, 220.73, 0, 1024, 320
PinNoHT, soc-LiveJournal1, 36, 1.131477, 3.11, 235.70, 0, 1024, 360
PinNoHT, soc-LiveJournal1, 36, 1.130944, 3.12, 236.65, 0, 1024, 360
PinNoHT, soc-LiveJournal1, 36, 1.166653, 3.11, 228.53, 0, 1024, 360
PinNoHT, soc-LiveJournal1, 40, 1.124214, 3.12, 238.00, 0, 1024, 400
PinNoHT, soc-LiveJournal1, 40, 1.090885, 3.11, 244.66, 0, 1024, 400
PinNoHT, soc-LiveJournal1, 40, 1.093406, 3.13, 245.13, 0, 1024, 400
PinNoHT, soc-LiveJournal1, 44, 1.071103, 3.14, 250.87, 0, 1024, 440
PinNoHT, soc-LiveJournal1, 44, 1.115680, 3.14, 241.06, 0, 1024, 440
PinNoHT, soc-LiveJournal1, 44, 1.077216, 3.12, 248.33, 0, 1024, 440
PinNoHT, soc-LiveJournal1, 48, 1.080107, 3.12, 247.58, 0, 1024, 480
PinNoHT, soc-LiveJournal1, 48, 1.078298, 3.14, 249.40, 0, 1024, 480
PinNoHT, soc-LiveJournal1, 48, 1.062725, 3.14, 253.07, 0, 1024, 480
PinNoHT, soc-LiveJournal1, 64, 1.116303, 3.13, 240.33, 0, 1024, 640
PinNoHT, soc-LiveJournal1, 64, 1.150828, 3.15, 234.42, 0, 1024, 640
PinNoHT, soc-LiveJournal1, 64, 1.089413, 3.15, 247.47, 0, 1024, 640
PinNoHT, soc-LiveJournal1, 96, 1.550929, 3.17, 174.95, 0, 1024, 960
PinNoHT, soc-LiveJournal1, 96, 1.561840, 3.19, 174.78, 0, 1024, 960
PinNoHT, soc-LiveJournal1, 96, 1.553244, 3.21, 176.91, 0, 1024, 960
PinNoHT, soc-LiveJournal1, 128, 1.656649, 3.21, 166.08, 0, 1024, 1280
PinNoHT, soc-LiveJournal1, 128, 1.672952, 3.20, 164.04, 0, 1024, 1280
PinNoHT, soc-LiveJournal1, 128, 1.668629, 3.21, 164.88, 0, 1024, 1280
PinWorst, soc-LiveJournal1, 2, 6.958061, 2.92, 36.02, 0, 1024, 20
PinWorst, soc-LiveJournal1, 2, 6.958542, 2.93, 36.11, 0, 1024, 20
PinWorst, soc-LiveJournal1, 2, 7.078048, 2.93, 35.48, 0, 1024, 20
PinWorst, soc-LiveJournal1, 4, 4.997956, 2.98, 51.05, 0, 1024, 40
PinWorst, soc-LiveJournal1, 4, 5.075755, 2.98, 50.31, 0, 1024, 40
PinWorst, soc-LiveJournal1, 4, 4.994483, 2.97, 50.98, 0, 1024, 40
PinWorst, soc-LiveJournal1, 6, 4.033286, 3.01, 64.05, 0, 1024, 60
PinWorst, soc-LiveJournal1, 6, 3.977666, 3.01, 64.88, 0, 1024, 60
PinWorst, soc-LiveJournal1, 6, 3.839111, 3.00, 67.01, 0, 1024, 60
PinWorst, soc-LiveJournal1, 8, 3.455486, 3.03, 75.19, 0, 1024, 80
