algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
noHT_ARM, soc-orkut, 8, 3.380948, 4.43, 278.70, 64, 64, 56
noHT_ARM, soc-orkut, 8, 3.373654, 4.42, 278.36, 64, 64, 56
noHT_ARM, soc-orkut, 8, 3.446415, 4.44, 273.76, 64, 64, 56
noHT_ARM, soc-orkut, 16, 1.989465, 4.53, 483.81, 64, 64, 112
noHT_ARM, soc-orkut, 16, 1.952794, 4.54, 494.55, 64, 64, 112
noHT_ARM, soc-orkut, 16, 2.007926, 4.53, 480.02, 64, 64, 112
noHT_ARM, soc-orkut, 32, 1.373399, 4.68, 725.23, 64, 64, 224
noHT_ARM, soc-orkut, 32, 1.395326, 4.69, 714.24, 64, 64, 224
noHT_ARM, soc-orkut, 32, 1.323366, 4.67, 749.94, 64, 64, 224
noHT_ARM, soc-orkut, 48, 1.203640, 4.74, 837.15, 64, 64, 336
noHT_ARM, soc-orkut, 48, 1.229859, 4.76, 822.37, 64, 64, 336
noHT_ARM, soc-orkut, 48, 1.365125, 4.74, 738.21, 64, 64, 336
noHT_ARM, soc-orkut, 64, 1.315128, 4.81, 777.68, 64, 64, 448
noHT_ARM, soc-orkut, 64, 1.356846, 4.78, 749.14, 64, 64, 448
noHT_ARM, soc-orkut, 64, 1.337269, 4.79, 762.30, 64, 64, 448
noHT_ARM, soc-orkut, 80, 1.663188, 4.87, 623.43, 64, 64, 560
noHT_ARM, soc-orkut, 80, 1.653452, 4.84, 622.22, 64, 64, 560
noHT_ARM, soc-orkut, 80, 1.612135, 4.86, 641.42, 64, 64, 560
noHT_ARM, soc-orkut, 8, 4.406762, 4.34, 209.70, 0, 64, 56
noHT_ARM, soc-orkut, 8, 4.325720, 4.34, 213.55, 0, 64, 56
noHT_ARM, soc-orkut, 8, 4.393460, 4.35, 210.45, 0, 64, 56
noHT_ARM, soc-orkut, 16, 2.524016, 4.44, 374.33, 0, 64, 112
noHT_ARM, soc-orkut, 16, 2.608799, 4.45, 362.75, 0, 64, 112
noHT_ARM, soc-orkut, 16, 2.569233, 4.46, 369.11, 0, 64, 112
noHT_ARM, soc-orkut, 32, 1.787849, 4.58, 544.92, 0, 64, 224
noHT_ARM, soc-orkut, 32, 1.778573, 4.57, 547.06, 0, 64, 224
noHT_ARM, soc-orkut, 32, 1.775167, 4.56, 546.39, 0, 64, 224
noHT_ARM, soc-orkut, 48, 1.858858, 4.63, 529.89, 0, 64, 336
noHT_ARM, soc-orkut, 48, 1.803293, 4.65, 548.59, 0, 64, 336
noHT_ARM, soc-orkut, 48, 1.844877, 4.68, 539.83, 0, 64, 336
noHT_ARM, soc-orkut, 64, 1.828697, 4.69, 545.66, 0, 64, 448
noHT_ARM, soc-orkut, 64, 1.990204, 4.68, 500.57, 0, 64, 448
noHT_ARM, soc-orkut, 64, 1.885441, 4.67, 526.28, 0, 64, 448
noHT_ARM, soc-orkut, 80, 2.169051, 4.74, 465.08, 0, 64, 560
noHT_ARM, soc-orkut, 80, 2.173268, 4.76, 465.85, 0, 64, 560
noHT_ARM, soc-orkut, 80, 2.151175, 4.75, 469.65, 0, 64, 560
noHT_ARM, soc-sinaweibo, 8, 14.818614, 4.42, 155.78, 64, 64, 56
noHT_ARM, soc-sinaweibo, 8, 16.119318, 4.42, 143.20, 64, 64, 56
noHT_ARM, soc-sinaweibo, 8, 15.051535, 4.42, 153.54, 64, 64, 56
noHT_ARM, soc-sinaweibo, 16, 10.280818, 4.53, 230.05, 64, 64, 112
noHT_ARM, soc-sinaweibo, 16, 10.500480, 4.52, 224.99, 64, 64, 112
noHT_ARM, soc-sinaweibo, 16, 10.164885, 4.53, 232.84, 64, 64, 112
noHT_ARM, soc-sinaweibo, 32, 8.613895, 4.61, 279.59, 64, 64, 224
noHT_ARM, soc-sinaweibo, 32, 8.776773, 4.61, 274.26, 64, 64, 224
noHT_ARM, soc-sinaweibo, 32, 8.705754, 4.62, 277.22, 64, 64, 224
noHT_ARM, soc-sinaweibo, 48, 8.240640, 4.66, 295.43, 64, 64, 336
noHT_ARM, soc-sinaweibo, 48, 8.122370, 4.67, 300.76, 64, 64, 336
noHT_ARM, soc-sinaweibo, 48, 8.054966, 4.68, 303.76, 64, 64, 336
noHT_ARM, soc-sinaweibo, 64, 7.755710, 4.68, 315.70, 64, 64, 448
noHT_ARM, soc-sinaweibo, 64, 7.469304, 4.68, 327.40, 64, 64, 448
