algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
NoPin, soc-LiveJournal1, 1, 5.017059, 2.79, 47.58, 0, 64, 7
NoPin, soc-LiveJournal1, 1, 5.026652, 2.79, 47.49, 0, 64, 7
NoPin, soc-LiveJournal1, 1, 5.029303, 2.79, 47.47, 0, 64, 7
NoPin, soc-LiveJournal1, 2, 3.168211, 2.84, 76.71, 0, 64, 14
NoPin, soc-LiveJournal1, 2, 3.212763, 2.84, 75.68, 0, 64, 14
NoPin, soc-LiveJournal1, 2, 3.187537, 2.83, 76.14, 0, 64, 14
NoPin, soc-LiveJournal1, 4, 1.969934, 2.86, 124.44, 0, 64, 28
NoPin, soc-LiveJournal1, 4, 2.048747, 2.87, 119.94, 0, 64, 28
NoPin, soc-LiveJournal1, 4, 1.986718, 2.87, 123.81, 0, 64, 28
NoPin, soc-LiveJournal1, 6, 1.644391, 2.89, 150.87, 0, 64, 42
NoPin, soc-LiveJournal1, 6, 1.768785, 2.88, 139.45, 0, 64, 42
NoPin, soc-LiveJournal1, 6, 1.660649, 2.90, 149.42, 0, 64, 42
NoPin, soc-LiveJournal1, 8, 1.710845, 2.91, 145.59, 0, 64, 56
NoPin, soc-LiveJournal1, 8, 1.683291, 2.90, 147.71, 0, 64, 56
NoPin, soc-LiveJournal1, 8, 1.699113, 2.91, 146.89, 0, 64, 56
NoPin, soc-LiveJournal1, 12, 1.262175, 2.93, 198.70, 0, 64, 84
NoPin, soc-LiveJournal1, 12, 1.273726, 2.93, 197.11, 0, 64, 84
NoPin, soc-LiveJournal1, 12, 1.194497, 2.92, 209.69, 0, 64, 84
NoPin, soc-LiveJournal1, 16, 1.005583, 2.94, 250.71, 0, 64, 112
NoPin, soc-LiveJournal1, 16, 0.997403, 2.95, 253.61, 0, 64, 112
NoPin, soc-LiveJournal1, 16, 1.022264, 2.95, 247.19, 0, 64, 112
NoPin, soc-LiveJournal1, 20, 0.891669, 2.97, 285.77, 0, 64, 140
NoPin, soc-LiveJournal1, 20, 0.898398, 2.96, 282.35, 0, 64, 140
NoPin, soc-LiveJournal1, 20, 0.871308, 2.96, 291.58, 0, 64, 140
NoPin, soc-LiveJournal1, 24, 0.857018, 2.97, 297.43, 0, 64, 168
NoPin, soc-LiveJournal1, 24, 0.820068, 2.97, 310.25, 0, 64, 168
NoPin, soc-LiveJournal1, 24, 0.844915, 2.99, 303.03, 0, 64, 168
NoPin, soc-LiveJournal1, 28, 0.974414, 2.98, 262.50, 0, 64, 196
NoPin, soc-LiveJournal1, 28, 0.942829, 2.98, 271.04, 0, 64, 196
NoPin, soc-LiveJournal1, 28, 1.027535, 2.99, 249.67, 0, 64, 196
NoPin, soc-LiveJournal1, 32, 0.928934, 3.00, 276.97, 0, 64, 224
NoPin, soc-LiveJournal1, 32, 1.032249, 3.00, 248.96, 0, 64, 224
