algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
WorstPin, soc-pokec, 16, 2.032548, 3.47, 76.22, 0, 64, 112
WorstPin, soc-pokec, 16, 1.913686, 3.47, 80.86, 0, 64, 112
WorstPin, soc-pokec, 16, 1.900100, 3.47, 81.44, 0, 64, 112
WorstPin, soc-pokec, 32, 1.588685, 3.49, 98.02, 0, 64, 224
WorstPin, soc-pokec, 32, 1.774436, 3.49, 87.81, 0, 64, 224
WorstPin, soc-pokec, 32, 1.546928, 3.50, 100.81, 0, 64, 224
WorstPin, soc-pokec, 64, 1.684304, 3.54, 93.74, 0, 64, 448
WorstPin, soc-pokec, 64, 1.696845, 3.53, 92.85, 0, 64, 448
WorstPin, soc-pokec, 64, 1.741680, 3.53, 90.44, 0, 64, 448
WorstPin, soc-sinaweibo, 16, 43.900733, 4.46, 53.05, 0, 64, 112
WorstPin, soc-sinaweibo, 16, 42.943510, 4.46, 54.33, 0, 64, 112
WorstPin, soc-sinaweibo, 16, 42.879455, 4.47, 54.52, 0, 64, 112
WorstPin, soc-sinaweibo, 32, 31.644188, 4.53, 74.85, 0, 64, 224
WorstPin, soc-sinaweibo, 32, 31.372059, 4.53, 75.48, 0, 64, 224
WorstPin, soc-sinaweibo, 32, 31.581251, 4.53, 74.89, 0, 64, 224
WorstPin, soc-sinaweibo, 64, 31.435294, 4.60, 76.42, 0, 64, 448
WorstPin, soc-sinaweibo, 64, 32.388540, 4.60, 74.18, 0, 64, 448
WorstPin, soc-sinaweibo, 64, 32.521565, 4.58, 73.62, 0, 64, 448
WorstPin, tech-p2p, 16, 21.422874, 5.90, 81.48, 0, 64, 112
WorstPin, tech-p2p, 16, 19.647232, 5.91, 88.91, 0, 64, 112
WorstPin, tech-p2p, 16, 19.701400, 5.91, 88.67, 0, 64, 112
WorstPin, tech-p2p, 32, 14.267339, 6.02, 124.77, 0, 64, 224
WorstPin, tech-p2p, 32, 14.345590, 6.09, 125.53, 0, 64, 224
WorstPin, tech-p2p, 32, 14.676785, 6.04, 121.66, 0, 64, 224
WorstPin, tech-p2p, 64, 12.701855, 6.10, 141.99, 0, 64, 448
WorstPin, tech-p2p, 64, 12.823034, 6.10, 140.74, 0, 64, 448
WorstPin, tech-p2p, 64, 12.706108, 6.13, 142.73, 0, 64, 448
WorstPin, soc-orkut, 16, 9.641072, 4.32, 95.40, 0, 64, 112
WorstPin, soc-orkut, 16, 9.454939, 4.33, 97.39, 0, 64, 112
WorstPin, soc-orkut, 16, 9.354843, 4.33, 98.40, 0, 64, 112
WorstPin, soc-orkut, 32, 6.966650, 4.42, 134.96, 0, 64, 224
WorstPin, soc-orkut, 32, 7.005606, 4.35, 132.15, 0, 64, 224
WorstPin, soc-orkut, 32, 7.115891, 4.42, 132.04, 0, 64, 224
WorstPin, soc-orkut, 64, 7.095575, 4.51, 135.30, 0, 64, 448
WorstPin, soc-orkut, 64, 6.761613, 4.50, 141.37, 0, 64, 448
WorstPin, soc-orkut, 64, 7.694460, 4.51, 124.79, 0, 64, 448
WorstPin, soc-LiveJournal1, 16, 3.562215, 2.95, 70.87, 0, 64, 112
WorstPin, soc-LiveJournal1, 16, 3.325032, 2.94, 75.82, 0, 64, 112
WorstPin, soc-LiveJournal1, 16, 3.514241, 2.94, 71.73, 0, 64, 112
WorstPin, soc-LiveJournal1, 32, 2.761355, 2.98, 92.39, 0, 64, 224
WorstPin, soc-LiveJournal1, 32, 2.946356, 2.97, 86.53, 0, 64, 224
WorstPin, soc-LiveJournal1, 32, 2.829998, 2.97, 90.02, 0, 64, 224
WorstPin, soc-LiveJournal1, 64, 2.516302, 3.02, 102.71, 0, 64, 448
WorstPin, soc-LiveJournal1, 64, 2.754237, 3.02, 93.92, 0, 64, 448
WorstPin, soc-LiveJournal1, 64, 2.684896, 3.01, 96.14, 0, 64, 448
