algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
HT, soc-pokec-relationships, 8, 2.370467, 3.43, 64.52, 0, 1, 56
HT, soc-pokec-relationships, 8, 1.770461, 3.43, 86.40, 0, 1, 56
HT, soc-pokec-relationships, 8, 1.812248, 3.43, 84.37, 0, 1, 56
HT, soc-pokec-relationships, 8, 1.291907, 3.44, 118.60, 0, 16, 56
HT, soc-pokec-relationships, 8, 1.180406, 3.43, 129.78, 0, 16, 56
HT, soc-pokec-relationships, 8, 1.165129, 3.43, 131.41, 0, 16, 56
HT, soc-pokec-relationships, 8, 1.159663, 3.49, 134.21, 0, 64, 56
HT, soc-pokec-relationships, 8, 1.163016, 3.49, 133.71, 0, 64, 56
HT, soc-pokec-relationships, 8, 1.158334, 3.49, 134.40, 0, 64, 56
HT, soc-pokec-relationships, 8, 1.187235, 3.56, 133.86, 0, 256, 56
HT, soc-pokec-relationships, 8, 1.158373, 3.55, 136.88, 0, 256, 56
HT, soc-pokec-relationships, 8, 1.193319, 3.56, 133.03, 0, 256, 56
HT, soc-pokec-relationships, 8, 1.279821, 3.65, 127.23, 0, 1024, 56
HT, soc-pokec-relationships, 8, 1.285970, 3.67, 127.23, 0, 1024, 56
HT, soc-pokec-relationships, 8, 1.277251, 3.66, 127.81, 0, 1024, 56
HT, soc-pokec-relationships, 8, 1.096736, 3.48, 141.55, 0, 64, 56
HT, soc-pokec-relationships, 8, 1.161723, 3.49, 134.16, 0, 64, 56
HT, soc-pokec-relationships, 8, 1.095131, 3.49, 142.06, 0, 64, 56
HT, soc-pokec-relationships, 8, 1.109784, 3.48, 140.05, 4, 64, 56
HT, soc-pokec-relationships, 8, 1.068636, 3.49, 145.55, 4, 64, 56
HT, soc-pokec-relationships, 8, 1.110404, 3.49, 140.02, 4, 64, 56
HT, soc-pokec-relationships, 8, 1.040253, 3.49, 149.55, 16, 64, 56
HT, soc-pokec-relationships, 8, 1.080353, 3.49, 143.99, 16, 64, 56
HT, soc-pokec-relationships, 8, 1.048631, 3.48, 148.18, 16, 64, 56
HT, soc-pokec-relationships, 8, 1.065581, 3.49, 146.00, 64, 64, 56
HT, soc-pokec-relationships, 8, 1.042708, 3.49, 149.28, 64, 64, 56
HT, soc-pokec-relationships, 8, 1.074550, 3.50, 145.08, 64, 64, 56
HT, soc-pokec-relationships, 8, 1.067412, 3.49, 146.03, 256, 64, 56
HT, soc-pokec-relationships, 8, 1.039353, 3.49, 149.80, 256, 64, 56
HT, soc-pokec-relationships, 8, 1.017207, 3.49, 152.97, 256, 64, 56
HT, soc-pokec-relationships, 8, 1.164275, 3.42, 130.85, 0, 64, 8
HT, soc-pokec-relationships, 8, 1.096744, 3.42, 139.07, 0, 64, 8
HT, soc-pokec-relationships, 8, 1.158832, 3.42, 131.45, 0, 64, 8
HT, soc-pokec-relationships, 8, 1.086697, 3.46, 141.88, 0, 64, 40
HT, soc-pokec-relationships, 8, 1.102821, 3.46, 139.93, 0, 64, 40
HT, soc-pokec-relationships, 8, 1.131585, 3.47, 136.76, 0, 64, 40
HT, soc-pokec-relationships, 8, 1.127035, 3.51, 138.74, 0, 64, 80
HT, soc-pokec-relationships, 8, 1.157444, 3.50, 135.06, 0, 64, 80
HT, soc-pokec-relationships, 8, 1.099280, 3.51, 142.28, 0, 64, 80
HT, soc-pokec-relationships, 8, 1.230103, 3.56, 128.93, 0, 64, 160
HT, soc-pokec-relationships, 8, 1.115416, 3.55, 142.13, 0, 64, 160
HT, soc-pokec-relationships, 8, 1.194220, 3.57, 133.25, 0, 64, 160
HT, soc-pokec-relationships, 16, 1.705395, 3.45, 90.34, 0, 1, 112
HT, soc-pokec-relationships, 16, 1.392032, 3.46, 110.84, 0, 1, 112
HT, soc-pokec-relationships, 16, 1.219567, 3.46, 126.56, 0, 1, 112
HT, soc-pokec-relationships, 16, 0.814494, 3.45, 188.99, 0, 16, 112
HT, soc-pokec-relationships, 16, 0.832529, 3.46, 185.44, 0, 16, 112
HT, soc-pokec-relationships, 16, 0.821424, 3.47, 188.27, 0, 16, 112
HT, soc-pokec-relationships, 16, 0.772785, 3.53, 203.89, 0, 64, 112
HT, soc-pokec-relationships, 16, 0.782114, 3.53, 201.24, 0, 64, 112
HT, soc-pokec-relationships, 16, 0.760377, 3.51, 206.12, 0, 64, 112
HT, soc-pokec-relationships, 16, 0.829413, 3.63, 195.46, 0, 256, 112
HT, soc-pokec-relationships, 16, 0.835600, 3.62, 193.21, 0, 256, 112
HT, soc-pokec-relationships, 16, 0.840836, 3.63, 192.67, 0, 256, 112
HT, soc-pokec-relationships, 16, 0.931841, 3.77, 180.66, 0, 1024, 112
HT, soc-pokec-relationships, 16, 0.991504, 3.75, 168.58, 0, 1024, 112
HT, soc-pokec-relationships, 16, 0.989351, 3.76, 169.40, 0, 1024, 112
HT, soc-pokec-relationships, 16, 0.787253, 3.52, 199.22, 0, 64, 112
HT, soc-pokec-relationships, 16, 0.777411, 3.52, 202.01, 0, 64, 112
HT, soc-pokec-relationships, 16, 0.777947, 3.53, 202.17, 0, 64, 112
HT, soc-pokec-relationships, 16, 0.729633, 3.52, 215.00, 4, 64, 112
HT, soc-pokec-relationships, 16, 0.703468, 3.53, 223.54, 4, 64, 112
