algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
HT, tech-p2p, 16, 10.256234, 5.88, 169.53, 0, 64, 112
HT, tech-p2p, 16, 10.505450, 5.89, 165.87, 0, 64, 112
HT, tech-p2p, 16, 9.821973, 5.88, 176.88, 0, 64, 112
HT, tech-p2p, 32, 8.832630, 5.92, 198.07, 0, 64, 224
HT, tech-p2p, 32, 8.136280, 6.04, 219.30, 0, 64, 224
HT, tech-p2p, 32, 8.878315, 5.98, 199.07, 0, 64, 224
HT, tech-p2p, 64, 7.747469, 6.02, 229.65, 0, 64, 448
HT, tech-p2p, 64, 8.747555, 6.05, 204.61, 0, 64, 448
HT, tech-p2p, 64, 7.662230, 6.07, 234.29, 0, 64, 448
noHT, tech-p2p, 16, 11.837759, 5.84, 145.89, 0, 64, 112
noHT, tech-p2p, 16, 11.072340, 5.91, 157.82, 0, 64, 112
noHT, tech-p2p, 16, 11.717389, 5.82, 146.85, 0, 64, 112
noHT, tech-p2p, 32, 8.324885, 6.03, 214.12, 0, 64, 224
noHT, tech-p2p, 32, 8.947875, 5.94, 196.23, 0, 64, 224
noHT, tech-p2p, 32, 8.070659, 6.00, 219.92, 0, 64, 224
noHT, tech-p2p, 64, 8.859974, 6.01, 200.71, 0, 64, 448
noHT, tech-p2p, 64, 7.595381, 6.04, 235.19, 0, 64, 448
noHT, tech-p2p, 64, 8.611452, 6.05, 207.80, 0, 64, 448
HT, tech-p2p, 16, 10.269943, 5.87, 168.96, 64, 64, 112
HT, tech-p2p, 16, 9.477611, 5.99, 186.70, 64, 64, 112
HT, tech-p2p, 16, 10.147105, 5.98, 174.36, 64, 64, 112
HT, tech-p2p, 32, 8.039645, 6.11, 224.59, 64, 64, 224
HT, tech-p2p, 32, 8.878924, 6.17, 205.41, 64, 64, 224
HT, tech-p2p, 32, 7.832597, 6.17, 232.76, 64, 64, 224
HT, tech-p2p, 64, 9.172434, 6.29, 202.74, 64, 64, 448
