algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiterHT

HT, graphs, 1, 30.733507, 4.23, 71.99, 0, 64, 7
HT, graphs, 1, 30.510502, 4.23, 72.51, 0, 64, 7
HT, graphs, 1, 31.493897, 4.23, 70.25, 0, 64, 7
HT, graphs, 1, 11.831378, 4.06, 72.97, 0, 64, 7
HT, graphs, 1, 11.669216, 4.06, 73.99, 0, 64, 7
HT, graphs, 1, 11.941263, 4.06, 72.30, 0, 64, 7
HT, graphs, 1, 19.605921, 5.25, 79.13, 0, 64, 7
HT, graphs, 1, 19.077595, 5.25, 81.32, 0, 64, 7
HT, graphs, 1, 19.947009, 5.25, 77.77, 0, 64, 7
HT, bn-human-Jung2015_M87127677, 1, 25.218136, 11.16, 184.96, 0, 64, 7
HT, bn-human-Jung2015_M87127677, 1, 26.359545, 11.16, 176.95, 0, 64, 7
HT, bn-human-Jung2015_M87127677, 1, 27.230680, 11.16, 171.29, 0, 64, 7
