algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
noHT, web-Stanford, 8, 0.296602, 1.69, 22.68, 0, 1, 8
noHT, web-Stanford, 8, 0.272144, 1.69, 24.76, 0, 1, 8
noHT, web-Stanford, 8, 0.297494, 1.69, 22.68, 0, 1, 8
noHT, web-Stanford, 8, 0.238371, 1.70, 28.41, 0, 1, 40
noHT, web-Stanford, 8, 0.231490, 1.70, 29.32, 0, 1, 40
noHT, web-Stanford, 8, 0.226385, 1.72, 30.34, 0, 1, 40
noHT, web-Stanford, 8, 0.204933, 1.73, 33.55, 0, 1, 80
noHT, web-Stanford, 8, 0.223090, 1.71, 30.57, 0, 1, 80
noHT, web-Stanford, 8, 0.233643, 1.71, 29.14, 0, 1, 80
noHT, web-Stanford, 8, 0.235731, 1.72, 29.08, 0, 1, 160
noHT, web-Stanford, 8, 0.232564, 1.72, 29.50, 0, 1, 160
noHT, web-Stanford, 8, 0.215759, 1.72, 31.75, 0, 1, 160
noHT, web-Stanford, 8, 0.305213, 1.69, 22.09, 4, 1, 8
noHT, web-Stanford, 8, 0.289945, 1.69, 23.18, 4, 1, 8
noHT, web-Stanford, 8, 0.275469, 1.69, 24.45, 4, 1, 8
noHT, web-Stanford, 8, 0.223788, 1.73, 30.74, 4, 1, 40
noHT, web-Stanford, 8, 0.207083, 1.73, 33.29, 4, 1, 40
noHT, web-Stanford, 8, 0.230083, 1.71, 29.60, 4, 1, 40
noHT, web-Stanford, 8, 0.213054, 1.71, 31.92, 4, 1, 80
noHT, web-Stanford, 8, 0.223916, 1.71, 30.37, 4, 1, 80
noHT, web-Stanford, 8, 0.214071, 1.71, 31.80, 4, 1, 80
noHT, web-Stanford, 8, 0.228888, 1.75, 30.46, 4, 1, 160
noHT, web-Stanford, 8, 0.192306, 1.72, 35.67, 4, 1, 160
noHT, web-Stanford, 8, 0.213778, 1.73, 32.18, 4, 1, 160
noHT, web-Stanford, 8, 0.284064, 1.69, 23.74, 16, 1, 8
noHT, web-Stanford, 8, 0.286642, 1.68, 23.42, 16, 1, 8
noHT, web-Stanford, 8, 0.275442, 1.69, 24.41, 16, 1, 8
noHT, web-Stanford, 8, 0.216832, 1.72, 31.56, 16, 1, 40
noHT, web-Stanford, 8, 0.220164, 1.70, 30.70, 16, 1, 40
noHT, web-Stanford, 8, 0.211243, 1.74, 32.74, 16, 1, 40
noHT, web-Stanford, 8, 0.210800, 1.71, 32.40, 16, 1, 80
noHT, web-Stanford, 8, 0.192949, 1.71, 35.41, 16, 1, 80
noHT, web-Stanford, 8, 0.193223, 1.74, 35.98, 16, 1, 80
noHT, web-Stanford, 8, 0.197193, 1.71, 34.62, 16, 1, 160
noHT, web-Stanford, 8, 0.188397, 1.74, 36.72, 16, 1, 160
noHT, web-Stanford, 8, 0.212488, 1.75, 32.89, 16, 1, 160
noHT, web-Stanford, 8, 0.253042, 1.68, 26.49, 64, 1, 8
noHT, web-Stanford, 8, 0.266195, 1.69, 25.29, 64, 1, 8
