algorithm, graph, num_threads, time (s), work, speed, vgc_threshold, batch_size, batches_per_subiter
FastK, web-BerkStan, 1, 0.128356, 1.53, 158.52, 0, 1024, 20
FastK, web-BerkStan, 1, 0.123635, 1.53, 164.57, 0, 1024, 20
FastK, web-BerkStan, 2, 0.080683, 1.57, 259.13, 0, 1024, 40
FastK, web-BerkStan, 2, 0.080538, 1.56, 258.26, 0, 1024, 40
FastK, web-BerkStan, 4, 0.061678, 1.55, 334.90, 0, 1024, 80
FastK, web-BerkStan, 4, 0.060317, 1.57, 346.49, 0, 1024, 80
FastK, web-BerkStan, 6, 0.052926, 1.56, 391.02, 0, 1024, 120
FastK, web-BerkStan, 6, 0.060686, 1.57, 343.58, 0, 1024, 120
FastK, web-BerkStan, 8, 0.054070, 1.57, 386.28, 0, 1024, 160
FastK, web-BerkStan, 8, 0.055290, 1.58, 379.51, 0, 1024, 160
FastK, web-BerkStan, 12, 0.066679, 1.57, 313.21, 0, 1024, 240
FastK, web-BerkStan, 12, 0.062813, 1.54, 326.08, 0, 1024, 240
FastK, web-BerkStan, 16, 0.078745, 1.60, 269.97, 0, 1024, 320
FastK, web-BerkStan, 16, 0.082515, 1.60, 257.22, 0, 1024, 320
FastK, web-BerkStan, 20, 0.081388, 1.60, 261.51, 0, 1024, 400
FastK, web-BerkStan, 20, 0.082496, 1.60, 257.67, 0, 1024, 400
FastK, web-BerkStan, 24, 0.092896, 1.60, 229.25, 0, 1024, 480
FastK, web-BerkStan, 24, 0.093145, 1.59, 226.44, 0, 1024, 480
FastK, web-BerkStan, 28, 0.112845, 1.59, 187.90, 0, 1024, 560
FastK, web-BerkStan, 28, 0.109889, 1.61, 194.34, 0, 1024, 560
FastK, web-BerkStan, 32, 0.114399, 1.58, 183.30, 0, 1024, 640
FastK, web-BerkStan, 32, 0.120424, 1.58, 174.97, 0, 1024, 640
FastK, web-BerkStan, 36, 0.133983, 1.61, 159.74, 0, 1024, 720
FastK, web-BerkStan, 36, 0.126026, 1.61, 170.02, 0, 1024, 720
FastK, web-BerkStan, 40, 0.138857, 1.61, 154.46, 0, 1024, 800
FastK, web-BerkStan, 40, 0.147340, 1.59, 143.77, 0, 1024, 800
FastK, web-BerkStan, 44, 0.148851, 1.59, 142.26, 0, 1024, 880
FastK, web-BerkStan, 44, 0.144417, 1.58, 145.80, 0, 1024, 880
FastK, web-BerkStan, 48, 0.160678, 1.59, 132.00, 0, 1024, 960
FastK, web-BerkStan, 48, 0.157038, 1.57, 133.31, 0, 1024, 960
FastK, web-BerkStan, 64, 0.195759, 1.59, 108.03, 0, 1024, 1280
FastK, web-BerkStan, 64, 0.196379, 1.60, 108.69, 0, 1024, 1280
FastK, web-BerkStan, 96, 0.282558, 1.61, 75.64, 0, 1024, 1920
FastK, web-BerkStan, 96, 0.286750, 1.60, 74.08, 0, 1024, 1920
FastK, web-BerkStan, 128, 0.374427, 1.60, 56.98, 0, 1024, 2560
FastK, web-BerkStan, 128, 0.355547, 1.59, 59.65, 0, 1024, 2560
FastK, soc-LiveJournal1, 1, 3.076462, 2.88, 80.31, 0, 1024, 20
FastK, soc-LiveJournal1, 1, 3.230152, 2.88, 76.49, 0, 1024, 20
FastK, soc-LiveJournal1, 2, 1.947482, 2.97, 130.62, 0, 1024, 40
FastK, soc-LiveJournal1, 2, 1.963217, 2.96, 129.14, 0, 1024, 40
FastK, soc-LiveJournal1, 4, 1.332379, 3.00, 192.92, 0, 1024, 80
FastK, soc-LiveJournal1, 4, 1.335749, 3.02, 193.46, 0, 1024, 80
FastK, soc-LiveJournal1, 6, 1.121223, 3.05, 233.10, 0, 1024, 120
FastK, soc-LiveJournal1, 6, 1.085326, 3.06, 241.88, 0, 1024, 120
FastK, soc-LiveJournal1, 8, 1.002557, 3.08, 263.30, 0, 1024, 160
FastK, soc-LiveJournal1, 8, 0.959831, 3.07, 274.50, 0, 1024, 160
FastK, soc-LiveJournal1, 12, 0.890480, 3.11, 299.16, 0, 1024, 240
FastK, soc-LiveJournal1, 12, 0.892817, 3.11, 298.81, 0, 1024, 240
FastK, soc-LiveJournal1, 16, 0.816676, 3.10, 325.55, 0, 1024, 320
FastK, soc-LiveJournal1, 16, 0.813037, 3.14, 330.86, 0, 1024, 320
FastK, soc-LiveJournal1, 20, 0.812602, 3.15, 331.94, 0, 1024, 400
FastK, soc-LiveJournal1, 20, 0.801526, 3.13, 334.83, 0, 1024, 400
